Raw channels: 19287
Wanted remaining channels: 129
Matched: 129
Still missing: 0

MATCH | ABC.BOSTON.us | ABC Boston | score=483 | via="WCVB" | site_id="abc-wcvb-boston-ma-hd/3661" | raw="ABC (WCVB) Boston, MA HD" | raw_xmltv_id="WCVBTV501.us@SD"
MATCH | NESN.us | NESN | score=513 | via="New England Sports Network" | site_id="new-england-sports-network-hd/3600" | raw="New England Sports Network HD" | raw_xmltv_id="new-england-sports-network-hd/3600"
MATCH | NBC.SPORTS.BOSTON.us | NBC Sports Boston | score=513 | via="NBC Sports Boston" | site_id="nbc-sports-boston-hd/4534" | raw="NBC Sports Boston HD" | raw_xmltv_id="nbc-sports-boston-hd/4534"
MATCH | NESN.PLUS.us | NESN Plus | score=148 | via="NESN.PLUS.us" | site_id="nous-tv-thetford-mines-hd/31536" | raw="Nous TV Thetford Mines HD" | raw_xmltv_id="nous-tv-thetford-mines-hd/31536"
MATCH | ESPN.us | ESPN | score=483 | via="ESPN" | site_id="espn2-hd/3379" | raw="ESPN2 HD" | raw_xmltv_id="ESPN2.us@SD"
MATCH | ESPN2.us | ESPN2 | score=483 | via="ESPN2.us" | site_id="espn2-hd/3379" | raw="ESPN2 HD" | raw_xmltv_id="ESPN2.us@SD"
MATCH | DISNEY.CHANNEL.us | Disney Channel | score=349 | via="Disney Channel" | site_id="disney-channel-canada-hd--east/16683" | raw="Disney Channel Canada HD - East" | raw_xmltv_id="DisneyChannel.ca@East"
MATCH | CARTOON.NETWORK.us | Cartoon Network | score=349 | via="Cartoon Network" | site_id="cartoon-network-canada--east-hd/10331" | raw="Cartoon Network Canada - East HD" | raw_xmltv_id="cartoon-network-canada--east-hd/10331"
MATCH | MS.NOW.us | MS Now | score=483 | via="MSNBC" | site_id="msnbc-canada-hd/8430" | raw="MSNBC Canada HD" | raw_xmltv_id="msnbc-canada-hd/8430"
MATCH | CNN.us | CNN | score=483 | via="CNN" | site_id="cnn-hd/4724" | raw="CNN HD" | raw_xmltv_id="cnn-hd/4724"
MATCH | HLN.us | HLN | score=483 | via="HLN.us" | site_id="hln-hd/6994" | raw="HLN HD" | raw_xmltv_id="HLN.us@SD"
MATCH | CNBC.us | CNBC | score=483 | via="CNBC" | site_id="cnbc-canada-hd/8429" | raw="CNBC Canada HD" | raw_xmltv_id="cnbc-canada-hd/8429"
MATCH | FOX.NEWS.CHANNEL.us | Fox News Channel | score=498 | via="Fox News Channel" | site_id="fox-news-hd/6207" | raw="Fox News HD" | raw_xmltv_id="FoxNewsChannel.us@SD"
MATCH | TNT.us | TNT | score=489 | via="TNT" | site_id="tnt-hd--east-feed/3037" | raw="TNT HD - East Feed" | raw_xmltv_id="tnt-hd--east-feed/3037"
MATCH | TLC.us | TLC | score=489 | via="TLC.us" | site_id="tlc-usa-hd--eastern/5004" | raw="TLC USA HD - Eastern" | raw_xmltv_id="TLC.us@East"
MATCH | AMC.us | AMC | score=489 | via="AMC.us" | site_id="amc--eastern-feed-hd/6219" | raw="AMC - Eastern Feed HD" | raw_xmltv_id="AMC.us@East"
MATCH | HGTV.us | HGTV | score=489 | via="HGTV.us" | site_id="hgtv-usa-hd--eastern/3690" | raw="HGTV USA HD - Eastern" | raw_xmltv_id="HGTV.us@East"
MATCH | NAT.GEO.us | Nat Geo | score=364 | via="National Geographic" | site_id="national-geographic-us-hd--eastern/4436" | raw="National Geographic US HD - Eastern" | raw_xmltv_id="NationalGeographic.us@East"
MATCH | HALLMARK.CHANNEL.us | Hallmark Channel | score=349 | via="Hallmark Channel" | site_id="hallmark-channel-hd--eastern/6213" | raw="Hallmark Channel HD - Eastern" | raw_xmltv_id="HallmarkChannel.us@East"
MATCH | ANIMAL.PLANET.us | Animal Planet | score=364 | via="ANIMAL.PLANET.us" | site_id="animal-planet-us-hd--east/4537" | raw="Animal Planet US HD - East" | raw_xmltv_id="AnimalPlanet.us@EastHD"
MATCH | HISTORY.CHANNEL.us | History Channel | score=349 | via="History Channel" | site_id="history-canada-hd-east/6822" | raw="History Canada HD East" | raw_xmltv_id="history-canada-hd-east/6822"
